review_order,review_group_cn,why_review_cn,decision_options_cn,episode_uid,figure_path,v0_3_category_cn,condition_context_cn,condition_level,condition_score_peak,steer_response_strength,steer_onset_relation,response_shape,coordinate_continuity_ok,subject,session_stamp,t_condition_anchor,nearest_old_road_module,current_recommended_use
24,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_zx_2025_09_27_17_56_42_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_zx_2025_09_27_17_56_42_0004.png,排除样本,低附着,extreme,11.593735391962475,none,none,return,False,zx,2025_09_27_17_56_42,129.531,curve1,排除
25,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_cwh_2025_09_26_19_35_47_0017,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_cwh_2025_09_26_19_35_47_0017.png,排除样本,弯道/曲率,extreme,11.589878921991296,none,none,return,False,cwh,2025_09_26_19_35_47,457.705,differentmu_road,排除
26,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_byx_2025_09_28_17_46_00_0005,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_byx_2025_09_28_17_46_00_0005.png,排除样本,低附着,extreme,11.540312950713748,none,none,weak_or_no_clear_steer,False,byx,2025_09_28_17_46_00,126.511,curve1,排除
27,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_zdq_2025_09_26_15_52_46_0011,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_zdq_2025_09_26_15_52_46_0011.png,排除样本,低附着,extreme,11.50000002107888,weak,after_condition,return,False,zdq,2025_09_26_15_52_46,242.685,fix_road,排除
28,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_yyl_2025_09_28_09_14_23_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_yyl_2025_09_28_09_14_23_0004.png,排除样本,横滚/姿态,extreme,11.5,medium,after_condition,sustained_same_side,False,yyl,2025_09_28_09_14_23,224.545,curve1,排除
29,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_gzj_2025_09_27_11_53_25_0017,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_gzj_2025_09_27_11_53_25_0017.png,排除样本,横滚/姿态,extreme,11.5,medium,after_condition,return,False,gzj,2025_09_27_11_53_25,579.84,differentmu_road,排除
30,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_zdq_2025_09_26_15_37_30_0002,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_zdq_2025_09_26_15_37_30_0002.png,排除样本,横滚/姿态,extreme,11.5,medium,after_condition,countersteer,False,zdq,2025_09_26_15_37_30,120.945,curve1,排除
31,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_zxy_2025_09_28_16_35_30_0009,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_zxy_2025_09_28_16_35_30_0009.png,排除样本,横滚/姿态,extreme,11.5,weak,after_condition,sustained_same_side,False,zxy,2025_09_28_16_35_30,384.225,fix_road,排除
32,B_重点看横滚姿态候选,这批是最值得抢救的 excluded：模型物理指标提示它可能包含真正极限姿态样本，但坐标或窗口规则曾把它排除。,升级为极限姿态主样本 / 放入风险候选池 / 维持排除,V03_jy_2025_09_26_17_51_46_0002,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\excluded_V03_jy_2025_09_26_17_51_46_0002.png,排除样本,横滚/姿态,extreme,11.5,none,none,countersteer,False,jy,2025_09_26_17_51_46,129.045,curve1,排除
33,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_zxy_2025_09_28_16_01_55_0006,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_zxy_2025_09_28_16_01_55_0006.png,待人工复核,低附着,medium,4.49134818152338,none,none,weak_or_no_clear_steer,True,zxy,2025_09_28_16_01_55,110.675,middle_section,人工复核
34,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_zx_2025_09_27_18_17_48_0000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_zx_2025_09_27_18_17_48_0000.png,待人工复核,低附着,medium,4.432924274994706,none,none,weak_or_no_clear_steer,True,zx,2025_09_27_18_17_48,4.224,middle_section,人工复核
35,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_zx_2025_09_27_16_32_00_0000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_zx_2025_09_27_16_32_00_0000.png,待人工复核,低附着,medium,4.410469164078803,none,none,return,True,zx,2025_09_27_16_32_00,12.831,middle_section,人工复核
36,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_xst_2025_09_26_11_34_18_0026,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_xst_2025_09_26_11_34_18_0026.png,待人工复核,低附着,medium,4.405356092347152,none,none,return,True,xst,2025_09_26_11_34_18,605.046,differentmu_road,人工复核
37,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_rjy_2025_09_28_19_33_26_0019,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_rjy_2025_09_28_19_33_26_0019.png,待人工复核,横滚/姿态,medium,4.39065120480637,none,none,weak_or_no_clear_steer,True,rjy,2025_09_28_19_33_26,578.912,differentmu_road,人工复核
38,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_jy_2025_09_26_17_29_44_0014,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_jy_2025_09_26_17_29_44_0014.png,待人工复核,横滚/姿态,medium,4.382454387623873,none,none,return,True,jy,2025_09_26_17_29_44,535.767,differentmu_road,人工复核
39,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_xst_2025_09_26_11_34_18_0022,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_xst_2025_09_26_11_34_18_0022.png,待人工复核,低附着,medium,4.310268401766841,none,none,weak_or_no_clear_steer,True,xst,2025_09_26_11_34_18,429.761,curve2,人工复核
40,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_xst_2025_09_26_11_34_18_0002,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_xst_2025_09_26_11_34_18_0002.png,待人工复核,低附着,medium,4.297154389413409,none,none,return,True,xst,2025_09_26_11_34_18,68.98,longstraight,人工复核
41,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_zt_2025_09_28_11_20_08_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_zt_2025_09_28_11_20_08_0004.png,待人工复核,低附着,medium,4.268000389716049,none,none,countersteer,True,zt,2025_09_28_11_20_08,131.165,curve1,人工复核
42,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_gf_2025_09_26_10_18_49_0026,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_gf_2025_09_26_10_18_49_0026.png,待人工复核,低附着,medium,4.248077809780535,none,none,weak_or_no_clear_steer,True,gf,2025_09_26_10_18_49,525.103,differentmu_road,人工复核
43,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_txj_2025_09_27_08_53_44_0005,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_txj_2025_09_27_08_53_44_0005.png,待人工复核,低附着,medium,4.23903043744021,none,none,weak_or_no_clear_steer,True,txj,2025_09_27_08_53_44,125.922,curve1,人工复核
44,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_lxy_2025_09_28_17_55_52_0027,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_lxy_2025_09_28_17_55_52_0027.png,待人工复核,横向动态,medium,4.123857816150816,none,none,countersteer,True,lxy,2025_09_28_17_55_52,488.574,differentmu_road,人工复核
45,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_cwh_2025_09_26_19_56_16_0012,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_cwh_2025_09_26_19_56_16_0012.png,待人工复核,低附着,medium,4.099242229969455,none,none,countersteer,True,cwh,2025_09_26_19_56_16,383.75,middle_section,人工复核
46,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_yzy_2025_09_27_14_26_04_0022,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_yzy_2025_09_27_14_26_04_0022.png,待人工复核,低附着,medium,4.024889544977414,none,none,weak_or_no_clear_steer,True,yzy,2025_09_27_14_26_04,481.943,middle_section,人工复核
47,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_gf_2025_09_26_10_03_00_0026,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_gf_2025_09_26_10_03_00_0026.png,待人工复核,低附着,medium,4.017623625055261,none,none,return,True,gf,2025_09_26_10_03_00,603.1,differentmu_road,人工复核
48,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_rjy_2025_09_28_20_15_42_0021,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_rjy_2025_09_28_20_15_42_0021.png,待人工复核,横滚/姿态,medium,4.008689084434179,strong,before_condition,countersteer,True,rjy,2025_09_28_20_15_42,562.596,differentmu_road,人工复核
49,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_hzh_2025_09_27_19_22_27_0016,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_hzh_2025_09_27_19_22_27_0016.png,待人工复核,低附着,medium,3.989320077870165,none,none,weak_or_no_clear_steer,True,hzh,2025_09_27_19_22_27,436.89,middle_section,人工复核
50,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_zdq_2025_09_26_15_52_46_0023,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_zdq_2025_09_26_15_52_46_0023.png,待人工复核,横滚/姿态,medium,3.959965852649772,none,none,return,True,zdq,2025_09_26_15_52_46,502.185,differentmu_road,人工复核
51,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_xst_2025_09_26_11_34_18_0020,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_xst_2025_09_26_11_34_18_0020.png,待人工复核,低附着,medium,3.950131783953302,none,none,return,True,xst,2025_09_26_11_34_18,371.461,fix_road,人工复核
52,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_gf_2025_09_26_10_03_00_0021,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_gf_2025_09_26_10_03_00_0021.png,待人工复核,低附着,medium,3.845721801580284,none,none,countersteer,True,gf,2025_09_26_10_03_00,521.474,middle_section,人工复核
